"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","30 Dec 2022","18422.40","18434.20","18232.30","18258.75"
"NIFTY 100","29 Dec 2022","18192.20","18387.60","18124.80","18343.60"
"NIFTY 100","28 Dec 2022","18220.35","18317.40","18200.20","18270.95"
"NIFTY 100","27 Dec 2022","18214.95","18280.50","18097.75","18263.55"
"NIFTY 100","26 Dec 2022","17910.65","18204.20","17834.10","18134.60"
"NIFTY 100","23 Dec 2022","18128.50","18193.00","17855.15","17888.05"
"NIFTY 100","22 Dec 2022","18447.00","18484.95","18212.50","18277.85"
"NIFTY 100","21 Dec 2022","18621.30","18664.75","18324.40","18361.15"
"NIFTY 100","20 Dec 2022","18532.95","18589.50","18391.20","18570.40"
"NIFTY 100","19 Dec 2022","18466.70","18616.45","18419.45","18604.50"
"NIFTY 100","16 Dec 2022","18512.15","18624.65","18432.00","18446.30"
"NIFTY 100","15 Dec 2022","18795.55","18833.65","18576.00","18604.45"
"NIFTY 100","14 Dec 2022","18842.85","18872.65","18817.35","18837.25"
"NIFTY 100","13 Dec 2022","18724.05","18793.70","18688.95","18781.65"
"NIFTY 100","12 Dec 2022","18605.20","18711.20","18536.45","18690.80"
"NIFTY 100","09 Dec 2022","18859.40","18861.30","18594.70","18687.65"
"NIFTY 100","08 Dec 2022","18770.80","18820.35","18739.00","18802.00"
"NIFTY 100","07 Dec 2022","18826.35","18858.30","18721.85","18754.00"
"NIFTY 100","06 Dec 2022","18777.60","18832.60","18760.20","18821.55"
"NIFTY 100","05 Dec 2022","18898.00","18905.60","18755.50","18867.65"
"NIFTY 100","02 Dec 2022","18925.85","18948.15","18812.60","18870.25"
"NIFTY 100","01 Dec 2022","19034.20","19039.40","18939.60","18973.05"
"NIFTY 100","30 Nov 2022","18771.35","18980.75","18762.60","18919.55"
"NIFTY 100","29 Nov 2022","18691.55","18815.90","18689.60","18758.35"
"NIFTY 100","28 Nov 2022","18582.55","18751.00","18521.60","18696.75"
"NIFTY 100","25 Nov 2022","18673.80","18677.10","18583.85","18652.05"
"NIFTY 100","24 Nov 2022","18492.30","18665.95","18462.95","18627.25"
"NIFTY 100","23 Nov 2022","18487.25","18487.40","18411.10","18433.80"
"NIFTY 100","22 Nov 2022","18353.20","18421.85","18307.85","18407.50"
"NIFTY 100","21 Nov 2022","18426.10","18439.65","18305.75","18334.65"
"NIFTY 100","18 Nov 2022","18575.75","18587.85","18385.45","18483.20"
"NIFTY 100","17 Nov 2022","18569.60","18618.90","18501.15","18532.45"
"NIFTY 100","16 Nov 2022","18632.70","18657.50","18546.95","18615.50"
"NIFTY 100","15 Nov 2022","18603.65","18656.55","18516.80","18635.40"
"NIFTY 100","14 Nov 2022","18603.95","18626.15","18547.05","18568.40"
"NIFTY 100","11 Nov 2022","18505.95","18586.15","18498.90","18573.35"
"NIFTY 100","10 Nov 2022","18302.35","18356.25","18202.15","18267.10"
"NIFTY 100","09 Nov 2022","18534.65","18538.05","18363.85","18406.25"
"NIFTY 100","07 Nov 2022","18456.45","18496.95","18309.40","18450.15"
"NIFTY 100","04 Nov 2022","18301.95","18377.25","18254.65","18361.45"
"NIFTY 100","03 Nov 2022","18206.90","18344.05","18198.00","18297.40"
"NIFTY 100","02 Nov 2022","18413.00","18413.90","18287.35","18322.40"
"NIFTY 100","01 Nov 2022","18354.90","18397.55","18290.35","18383.20"
"NIFTY 100","31 Oct 2022","18133.75","18256.65","18125.10","18243.40"
"NIFTY 100","28 Oct 2022","18011.30","18065.05","17950.10","18017.20"
"NIFTY 100","27 Oct 2022","18002.05","18027.95","17899.65","17989.00"
"NIFTY 100","25 Oct 2022","18023.90","18027.30","17871.00","17887.40"
"NIFTY 100","24 Oct 2022","17973.75","18008.50","17926.95","17951.30"
"NIFTY 100","21 Oct 2022","17887.95","17915.25","17751.25","17808.80"
"NIFTY 100","20 Oct 2022","17670.60","17850.80","17665.90","17829.45"
"NIFTY 100","19 Oct 2022","17822.65","17862.05","17721.25","17756.25"
"NIFTY 100","18 Oct 2022","17685.15","17774.00","17681.85","17741.20"
"NIFTY 100","17 Oct 2022","17395.20","17580.25","17335.50","17560.50"
"NIFTY 100","14 Oct 2022","17612.85","17620.85","17418.55","17432.55"
"NIFTY 100","13 Oct 2022","17393.00","17417.15","17247.40","17302.15"
"NIFTY 100","12 Oct 2022","17330.80","17440.45","17249.90","17423.40"
"NIFTY 100","11 Oct 2022","17582.20","17585.75","17251.15","17285.85"
"NIFTY 100","10 Oct 2022","17419.20","17596.15","17380.60","17553.15"
"NIFTY 100","07 Oct 2022","17624.60","17660.15","17532.90","17641.45"
"NIFTY 100","06 Oct 2022","17700.85","17750.60","17647.40","17662.80"
"NIFTY 100","04 Oct 2022","17470.75","17602.05","17444.40","17589.30"
"NIFTY 100","03 Oct 2022","17448.70","17469.90","17137.30","17190.90"
"NIFTY 100","30 Sep 2022","17146.95","17518.10","17080.65","17438.60"
"NIFTY 100","29 Sep 2022","17361.85","17403.55","17139.25","17167.75"
"NIFTY 100","28 Sep 2022","17229.00","17401.40","17179.25","17219.55"
"NIFTY 100","27 Sep 2022","17469.90","17544.15","17290.85","17366.40"
"NIFTY 100","26 Sep 2022","17549.00","17576.40","17329.30","17374.80"
"NIFTY 100","23 Sep 2022","18004.95","18050.10","17686.05","17718.45"
"NIFTY 100","22 Sep 2022","17988.50","18111.45","17914.15","18030.40"
"NIFTY 100","21 Sep 2022","18180.55","18255.45","18041.15","18091.90"
"NIFTY 100","20 Sep 2022","18180.90","18329.00","18161.35","18222.10"
"NIFTY 100","19 Sep 2022","17958.30","18080.65","17828.75","18025.25"
"NIFTY 100","16 Sep 2022","18239.15","18259.10","17898.30","17938.10"
"NIFTY 100","15 Sep 2022","18459.90","18505.20","18282.75","18316.90"
"NIFTY 100","14 Sep 2022","18147.60","18486.95","18147.60","18405.60"
"NIFTY 100","13 Sep 2022","18429.05","18471.05","18393.45","18453.70"
"NIFTY 100","12 Sep 2022","18257.85","18352.80","18255.55","18319.80"
"NIFTY 100","09 Sep 2022","18298.90","18298.90","18148.50","18198.10"
"NIFTY 100","08 Sep 2022","18135.85","18178.20","18067.85","18168.85"
"NIFTY 100","07 Sep 2022","17906.65","18036.75","17874.65","18008.10"
"NIFTY 100","06 Sep 2022","18061.90","18125.05","17955.25","18031.30"
"NIFTY 100","05 Sep 2022","17928.80","18041.65","17922.95","18021.65"
"NIFTY 100","02 Sep 2022","17989.50","18029.40","17871.20","17916.00"
"NIFTY 100","01 Sep 2022","17858.45","18063.90","17850.15","17924.30"
"NIFTY 100","30 Aug 2022","17776.75","18131.30","17766.85","18112.40"
"NIFTY 100","29 Aug 2022","17499.75","17730.10","17486.85","17666.45"
"NIFTY 100","26 Aug 2022","17949.10","18017.45","17855.95","17893.80"
"NIFTY 100","25 Aug 2022","17992.80","18044.85","17813.80","17847.65"
"NIFTY 100","24 Aug 2022","17832.85","17933.10","17790.90","17917.30"
"NIFTY 100","23 Aug 2022","17654.50","17926.95","17644.60","17878.40"
"NIFTY 100","22 Aug 2022","18001.30","18007.10","17767.25","17792.45"
"NIFTY 100","19 Aug 2022","18281.60","18304.70","18026.60","18071.10"
"NIFTY 100","18 Aug 2022","18195.65","18277.10","18156.30","18264.40"
"NIFTY 100","17 Aug 2022","18154.20","18258.15","18125.85","18235.55"
"NIFTY 100","16 Aug 2022","18056.25","18118.45","18028.10","18107.25"
"NIFTY 100","12 Aug 2022","17916.65","17982.90","17857.75","17956.80"
"NIFTY 100","11 Aug 2022","17955.90","17962.35","17883.10","17913.95"
"NIFTY 100","10 Aug 2022","17829.45","17829.45","17695.80","17784.90"
"NIFTY 100","08 Aug 2022","17664.20","17799.90","17621.15","17784.80"
"NIFTY 100","05 Aug 2022","17699.35","17747.40","17625.35","17655.50"
"NIFTY 100","04 Aug 2022","17723.50","17753.85","17420.40","17652.95"
"NIFTY 100","03 Aug 2022","17621.25","17665.35","17487.70","17646.00"
"NIFTY 100","02 Aug 2022","17576.05","17656.90","17489.80","17618.25"
"NIFTY 100","01 Aug 2022","17487.65","17614.20","17396.00","17598.80"
"NIFTY 100","29 Jul 2022","17317.35","17413.85","17266.00","17400.75"
"NIFTY 100","28 Jul 2022","17016.10","17186.40","16985.15","17169.70"
"NIFTY 100","27 Jul 2022","16724.00","16900.95","16687.25","16889.55"
"NIFTY 100","26 Jul 2022","16896.40","16899.00","16710.00","16733.30"
"NIFTY 100","25 Jul 2022","16924.30","16960.30","16825.45","16892.10"
