"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","31 Dec 2020","7081.20","7121.05","7060.60","7087.60"
"NIFTY SMALLCAP 100","30 Dec 2020","7044.00","7073.05","6968.60","7066.15"
"NIFTY SMALLCAP 100","29 Dec 2020","7061.25","7079.65","6971.60","7017.05"
"NIFTY SMALLCAP 100","28 Dec 2020","6960.30","7033.70","6956.70","7018.40"
"NIFTY SMALLCAP 100","24 Dec 2020","6891.55","6934.40","6871.70","6902.10"
"NIFTY SMALLCAP 100","23 Dec 2020","6710.70","6842.55","6704.00","6840.45"
"NIFTY SMALLCAP 100","22 Dec 2020","6570.95","6696.90","6361.25","6658.75"
"NIFTY SMALLCAP 100","21 Dec 2020","6959.30","6981.20","6464.90","6608.05"
"NIFTY SMALLCAP 100","18 Dec 2020","7003.10","7011.75","6877.35","6957.70"
"NIFTY SMALLCAP 100","17 Dec 2020","7003.30","7030.95","6958.60","6972.50"
"NIFTY SMALLCAP 100","16 Dec 2020","6944.40","6991.15","6933.60","6962.35"
"NIFTY SMALLCAP 100","15 Dec 2020","6896.25","6905.80","6840.15","6892.70"
"NIFTY SMALLCAP 100","14 Dec 2020","6880.30","6906.05","6846.70","6879.75"
"NIFTY SMALLCAP 100","11 Dec 2020","6822.35","6871.95","6771.25","6823.95"
"NIFTY SMALLCAP 100","10 Dec 2020","6815.35","6816.15","6689.30","6781.35"
"NIFTY SMALLCAP 100","09 Dec 2020","6816.15","6838.00","6806.80","6817.25"
"NIFTY SMALLCAP 100","08 Dec 2020","6835.55","6851.45","6695.75","6782.55"
"NIFTY SMALLCAP 100","07 Dec 2020","6734.25","6793.85","6728.25","6783.85"
"NIFTY SMALLCAP 100","04 Dec 2020","6709.15","6726.95","6652.25","6699.35"
"NIFTY SMALLCAP 100","03 Dec 2020","6677.20","6684.55","6661.95","6675.35"
"NIFTY SMALLCAP 100","02 Dec 2020","6664.45","6665.60","6585.25","6632.55"
"NIFTY SMALLCAP 100","01 Dec 2020","6627.95","6651.95","6599.10","6633.05"
"NIFTY SMALLCAP 100","27 Nov 2020","6397.00","6594.30","6395.00","6573.30"
"NIFTY SMALLCAP 100","26 Nov 2020","6351.75","6381.55","6292.40","6377.40"
"NIFTY SMALLCAP 100","25 Nov 2020","6419.65","6434.40","6314.50","6323.20"
"NIFTY SMALLCAP 100","24 Nov 2020","6369.60","6386.05","6352.25","6380.00"
"NIFTY SMALLCAP 100","23 Nov 2020","6260.00","6321.85","6249.40","6309.65"
"NIFTY SMALLCAP 100","20 Nov 2020","6139.75","6200.55","6123.60","6182.25"
"NIFTY SMALLCAP 100","19 Nov 2020","6104.60","6194.25","6083.15","6111.65"
"NIFTY SMALLCAP 100","18 Nov 2020","6104.05","6135.10","6093.15","6124.20"
"NIFTY SMALLCAP 100","17 Nov 2020","6109.75","6115.50","6057.25","6104.65"
"NIFTY SMALLCAP 100","14 Nov 2020","6093.35","6107.20","6081.95","6089.10"
"NIFTY SMALLCAP 100","13 Nov 2020","5998.55","6052.40","5987.85","6043.50"
"NIFTY SMALLCAP 100","12 Nov 2020","5932.40","6001.35","5914.60","5994.80"
"NIFTY SMALLCAP 100","11 Nov 2020","5882.80","5932.50","5859.05","5917.20"
"NIFTY SMALLCAP 100","10 Nov 2020","5925.85","5929.20","5858.15","5874.90"
"NIFTY SMALLCAP 100","09 Nov 2020","5908.00","5915.40","5858.95","5878.30"
"NIFTY SMALLCAP 100","06 Nov 2020","5860.10","5901.75","5853.30","5859.10"
"NIFTY SMALLCAP 100","05 Nov 2020","5785.85","5830.00","5784.35","5824.55"
"NIFTY SMALLCAP 100","04 Nov 2020","5753.05","5779.90","5705.30","5725.95"
"NIFTY SMALLCAP 100","03 Nov 2020","5763.35","5786.35","5722.75","5732.85"
"NIFTY SMALLCAP 100","02 Nov 2020","5808.70","5828.55","5718.85","5728.60"
"NIFTY SMALLCAP 100","30 Oct 2020","5860.65","5909.20","5790.65","5819.05"
"NIFTY SMALLCAP 100","29 Oct 2020","5832.75","5863.30","5795.70","5839.10"
"NIFTY SMALLCAP 100","28 Oct 2020","5959.90","5980.55","5887.55","5893.10"
"NIFTY SMALLCAP 100","27 Oct 2020","5930.80","5963.20","5864.60","5951.35"
"NIFTY SMALLCAP 100","26 Oct 2020","6017.45","6023.10","5915.75","5932.70"
"NIFTY SMALLCAP 100","23 Oct 2020","5995.90","6006.15","5981.30","5994.10"
"NIFTY SMALLCAP 100","22 Oct 2020","5897.90","5970.70","5888.20","5957.40"
"NIFTY SMALLCAP 100","21 Oct 2020","5943.65","5963.45","5828.40","5897.70"
"NIFTY SMALLCAP 100","20 Oct 2020","5874.30","5909.35","5854.70","5904.35"
"NIFTY SMALLCAP 100","19 Oct 2020","5880.90","5889.85","5849.95","5882.05"
"NIFTY SMALLCAP 100","16 Oct 2020","5797.95","5850.30","5725.55","5839.30"
"NIFTY SMALLCAP 100","15 Oct 2020","5884.10","5899.15","5745.35","5759.00"
"NIFTY SMALLCAP 100","14 Oct 2020","5847.30","5870.10","5809.90","5859.90"
"NIFTY SMALLCAP 100","13 Oct 2020","5861.50","5871.35","5835.80","5844.95"
"NIFTY SMALLCAP 100","12 Oct 2020","5903.85","5906.50","5822.35","5855.00"
"NIFTY SMALLCAP 100","09 Oct 2020","5907.15","5917.20","5866.75","5876.60"
"NIFTY SMALLCAP 100","08 Oct 2020","5950.90","5964.40","5884.80","5890.25"
"NIFTY SMALLCAP 100","07 Oct 2020","5947.70","5952.15","5897.75","5903.90"
"NIFTY SMALLCAP 100","06 Oct 2020","5940.05","5951.80","5908.20","5923.65"
"NIFTY SMALLCAP 100","05 Oct 2020","5888.55","5905.60","5864.35","5895.95"
"NIFTY SMALLCAP 100","01 Oct 2020","5901.85","5913.85","5850.90","5861.15"
