"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","31 Dec 2015","5607.55","5656.35","5607.55","5653.30"
"NIFTY SMALLCAP 100","30 Dec 2015","5623.25","5638.90","5590.10","5597.85"
"NIFTY SMALLCAP 100","29 Dec 2015","5640.20","5645.60","5574.85","5607.75"
"NIFTY SMALLCAP 100","28 Dec 2015","5619.65","5645.90","5617.80","5621.15"
"NIFTY SMALLCAP 100","24 Dec 2015","5574.30","5606.45","5554.20","5603.15"
"NIFTY SMALLCAP 100","23 Dec 2015","5558.00","5586.35","5545.55","5550.60"
"NIFTY SMALLCAP 100","22 Dec 2015","5560.20","5594.40","5515.35","5521.00"
"NIFTY SMALLCAP 100","21 Dec 2015","5496.30","5537.65","5487.25","5533.40"
"NIFTY SMALLCAP 100","18 Dec 2015","5477.15","5508.10","5460.20","5488.55"
"NIFTY SMALLCAP 100","17 Dec 2015","5432.65","5484.60","5411.10","5477.75"
"NIFTY SMALLCAP 100","16 Dec 2015","5390.55","5430.65","5370.00","5377.40"
"NIFTY SMALLCAP 100","15 Dec 2015","5335.55","5365.35","5326.50","5362.25"
"NIFTY SMALLCAP 100","14 Dec 2015","5261.00","5333.75","5247.95","5321.60"
"NIFTY SMALLCAP 100","11 Dec 2015","5345.25","5373.65","5245.75","5275.60"
"NIFTY SMALLCAP 100","10 Dec 2015","5287.65","5336.25","5253.40","5332.35"
"NIFTY SMALLCAP 100","09 Dec 2015","5379.70","5383.20","5231.30","5256.50"
"NIFTY SMALLCAP 100","08 Dec 2015","5478.55","5511.50","5370.95","5380.70"
"NIFTY SMALLCAP 100","07 Dec 2015","5529.35","5537.55","5487.85","5492.70"
"NIFTY SMALLCAP 100","04 Dec 2015","5548.55","5551.10","5465.90","5474.00"
"NIFTY SMALLCAP 100","03 Dec 2015","5570.35","5613.80","5557.95","5569.90"
"NIFTY SMALLCAP 100","02 Dec 2015","5614.20","5619.60","5544.40","5573.25"
"NIFTY SMALLCAP 100","01 Dec 2015","5573.05","5596.90","5543.05","5583.85"
"NIFTY SMALLCAP 100","30 Nov 2015","5500.95","5561.85","5500.95","5546.45"
"NIFTY SMALLCAP 100","27 Nov 2015","5463.25","5504.00","5446.55","5487.85"
"NIFTY SMALLCAP 100","26 Nov 2015","5432.05","5452.35","5432.05","5446.40"
"NIFTY SMALLCAP 100","24 Nov 2015","5402.15","5442.80","5398.90","5418.05"
"NIFTY SMALLCAP 100","23 Nov 2015","5402.95","5417.90","5381.80","5397.85"
"NIFTY SMALLCAP 100","20 Nov 2015","5383.25","5420.00","5369.10","5385.50"
"NIFTY SMALLCAP 100","19 Nov 2015","5355.25","5378.20","5341.95","5371.60"
"NIFTY SMALLCAP 100","18 Nov 2015","5370.90","5395.35","5300.75","5307.05"
"NIFTY SMALLCAP 100","17 Nov 2015","5350.20","5368.35","5327.05","5362.00"
"NIFTY SMALLCAP 100","16 Nov 2015","5244.75","5322.40","5239.35","5313.05"
"NIFTY SMALLCAP 100","13 Nov 2015","5264.15","5264.15","5220.15","5256.00"
"NIFTY SMALLCAP 100","11 Nov 2015","5264.35","5294.15","5263.05","5287.75"
"NIFTY SMALLCAP 100","10 Nov 2015","5270.40","5310.05","5197.55","5206.70"
"NIFTY SMALLCAP 100","09 Nov 2015","5095.20","5283.65","5073.90","5277.00"
"NIFTY SMALLCAP 100","06 Nov 2015","5271.30","5290.45","5213.95","5222.50"
"NIFTY SMALLCAP 100","05 Nov 2015","5356.15","5357.75","5254.90","5258.95"
"NIFTY SMALLCAP 100","04 Nov 2015","5396.45","5413.25","5350.45","5355.20"
"NIFTY SMALLCAP 100","03 Nov 2015","5387.50","5407.15","5357.65","5363.45"
"NIFTY SMALLCAP 100","02 Nov 2015","5368.35","5369.25","5305.05","5352.40"
"NIFTY SMALLCAP 100","30 Oct 2015","5447.85","5457.00","5342.30","5362.45"
"NIFTY SMALLCAP 100","29 Oct 2015","5467.65","5484.95","5419.50","5427.30"
"NIFTY SMALLCAP 100","28 Oct 2015","5486.25","5509.95","5438.55","5462.60"
"NIFTY SMALLCAP 100","27 Oct 2015","5471.15","5498.65","5459.90","5489.95"
"NIFTY SMALLCAP 100","26 Oct 2015","5569.35","5570.60","5470.00","5475.55"
"NIFTY SMALLCAP 100","23 Oct 2015","5614.95","5639.35","5538.20","5542.75"
"NIFTY SMALLCAP 100","21 Oct 2015","5603.25","5624.95","5533.85","5563.20"
"NIFTY SMALLCAP 100","20 Oct 2015","5585.30","5628.45","5556.85","5592.30"
"NIFTY SMALLCAP 100","19 Oct 2015","5515.25","5565.70","5509.00","5562.20"
"NIFTY SMALLCAP 100","16 Oct 2015","5508.35","5516.45","5478.10","5504.60"
"NIFTY SMALLCAP 100","15 Oct 2015","5487.75","5514.10","5484.20","5493.40"
"NIFTY SMALLCAP 100","14 Oct 2015","5458.00","5499.25","5453.55","5459.10"
"NIFTY SMALLCAP 100","13 Oct 2015","5422.25","5458.40","5416.60","5449.35"
"NIFTY SMALLCAP 100","12 Oct 2015","5441.40","5457.80","5386.35","5418.15"
"NIFTY SMALLCAP 100","09 Oct 2015","5464.90","5491.60","5398.15","5418.00"
"NIFTY SMALLCAP 100","08 Oct 2015","5439.60","5458.00","5399.90","5419.90"
"NIFTY SMALLCAP 100","07 Oct 2015","5406.35","5453.85","5389.40","5427.45"
"NIFTY SMALLCAP 100","06 Oct 2015","5380.95","5404.20","5350.35","5392.70"
"NIFTY SMALLCAP 100","05 Oct 2015","5287.20","5348.75","5287.20","5343.05"
"NIFTY SMALLCAP 100","01 Oct 2015","5280.40","5288.70","5231.80","5243.45"
"NIFTY SMALLCAP 100","30 Sep 2015","5213.30","5238.15","5204.00","5233.35"
"NIFTY SMALLCAP 100","29 Sep 2015","5114.50","5206.75","5078.85","5172.80"
"NIFTY SMALLCAP 100","28 Sep 2015","5183.65","5235.25","5167.05","5170.25"
"NIFTY SMALLCAP 100","24 Sep 2015","5150.85","5193.85","5144.45","5163.00"
"NIFTY SMALLCAP 100","23 Sep 2015","5076.55","5153.90","5056.30","5138.30"
"NIFTY SMALLCAP 100","22 Sep 2015","5227.55","5246.30","5095.15","5116.75"
"NIFTY SMALLCAP 100","21 Sep 2015","5089.60","5201.50","5075.10","5196.55"
"NIFTY SMALLCAP 100","18 Sep 2015","5066.45","5143.50","5065.85","5115.80"
"NIFTY SMALLCAP 100","16 Sep 2015","5096.50","5109.35","5012.15","5020.65"
"NIFTY SMALLCAP 100","15 Sep 2015","5112.55","5138.60","5054.50","5062.00"
"NIFTY SMALLCAP 100","14 Sep 2015","5076.85","5108.30","5058.05","5102.70"
"NIFTY SMALLCAP 100","11 Sep 2015","5047.60","5099.55","5034.75","5052.95"
"NIFTY SMALLCAP 100","10 Sep 2015","4958.45","5020.30","4903.15","5013.20"
"NIFTY SMALLCAP 100","09 Sep 2015","4992.60","5052.35","4992.60","5037.75"
"NIFTY SMALLCAP 100","08 Sep 2015","4870.30","4942.55","4789.25","4915.15"
"NIFTY SMALLCAP 100","07 Sep 2015","4981.70","4996.35","4847.95","4854.90"
"NIFTY SMALLCAP 100","04 Sep 2015","5097.45","5097.45","4920.30","4964.80"
"NIFTY SMALLCAP 100","03 Sep 2015","5082.70","5134.80","5082.70","5108.20"
"NIFTY SMALLCAP 100","02 Sep 2015","5080.15","5102.35","5030.65","5041.85"
"NIFTY SMALLCAP 100","01 Sep 2015","5117.60","5150.00","4994.30","5041.25"
"NIFTY SMALLCAP 100","31 Aug 2015","5141.20","5193.90","5126.85","5167.25"
"NIFTY SMALLCAP 100","28 Aug 2015","5244.40","5279.60","5118.45","5145.85"
"NIFTY SMALLCAP 100","27 Aug 2015","5120.45","5176.95","5109.60","5171.45"
"NIFTY SMALLCAP 100","26 Aug 2015","5000.50","5101.75","4907.80","5018.65"
"NIFTY SMALLCAP 100","25 Aug 2015","4996.50","5066.65","4690.30","5003.90"
"NIFTY SMALLCAP 100","24 Aug 2015","5292.90","5292.90","4897.65","4915.80"
"NIFTY SMALLCAP 100","21 Aug 2015","5470.30","5507.25","5406.30","5499.25"
"NIFTY SMALLCAP 100","20 Aug 2015","5704.85","5710.80","5550.50","5549.30"
"NIFTY SMALLCAP 100","19 Aug 2015","5730.00","5775.75","5710.75","5717.40"
"NIFTY SMALLCAP 100","18 Aug 2015","5681.75","5744.75","5675.75","5724.55"
"NIFTY SMALLCAP 100","17 Aug 2015","5665.00","5682.50","5590.80","5660.30"
"NIFTY SMALLCAP 100","14 Aug 2015","5571.35","5662.85","5556.90","5655.65"
"NIFTY SMALLCAP 100","13 Aug 2015","5665.85","5707.15","5520.40","5535.35"
"NIFTY SMALLCAP 100","12 Aug 2015","5750.90","5750.90","5615.65","5623.85"
"NIFTY SMALLCAP 100","11 Aug 2015","5880.60","5883.65","5745.95","5767.20"
"NIFTY SMALLCAP 100","10 Aug 2015","5898.75","5928.90","5827.15","5848.70"
"NIFTY SMALLCAP 100","07 Aug 2015","5931.80","5955.35","5877.25","5887.00"
"NIFTY SMALLCAP 100","06 Aug 2015","5949.95","5972.15","5919.75","5927.90"
"NIFTY SMALLCAP 100","05 Aug 2015","5920.80","5969.45","5920.80","5933.15"
"NIFTY SMALLCAP 100","04 Aug 2015","5844.30","5888.30","5808.15","5877.65"
"NIFTY SMALLCAP 100","03 Aug 2015","5749.20","5826.70","5749.20","5809.55"
"NIFTY SMALLCAP 100","31 Jul 2015","5678.70","5742.15","5678.70","5722.90"
"NIFTY SMALLCAP 100","30 Jul 2015","5614.35","5662.80","5614.35","5644.65"
"NIFTY SMALLCAP 100","29 Jul 2015","5540.90","5584.75","5540.90","5577.35"
"NIFTY SMALLCAP 100","28 Jul 2015","5572.60","5588.35","5510.75","5517.00"
