"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","31 Dec 2014","-","-","-","4399.88"
"NIFTY CHEMICALS","30 Dec 2014","-","-","-","4342.15"
"NIFTY CHEMICALS","29 Dec 2014","-","-","-","4292.34"
"NIFTY CHEMICALS","26 Dec 2014","-","-","-","4249.05"
"NIFTY CHEMICALS","24 Dec 2014","-","-","-","4237.98"
"NIFTY CHEMICALS","23 Dec 2014","-","-","-","4261.09"
"NIFTY CHEMICALS","22 Dec 2014","-","-","-","4273.25"
"NIFTY CHEMICALS","19 Dec 2014","-","-","-","4212.33"
"NIFTY CHEMICALS","18 Dec 2014","-","-","-","4112.20"
"NIFTY CHEMICALS","17 Dec 2014","-","-","-","4004.04"
"NIFTY CHEMICALS","16 Dec 2014","-","-","-","4080.26"
"NIFTY CHEMICALS","15 Dec 2014","-","-","-","4136.74"
"NIFTY CHEMICALS","12 Dec 2014","-","-","-","4151.99"
"NIFTY CHEMICALS","11 Dec 2014","-","-","-","4233.71"
"NIFTY CHEMICALS","10 Dec 2014","-","-","-","4296.32"
"NIFTY CHEMICALS","09 Dec 2014","-","-","-","4248.49"
"NIFTY CHEMICALS","08 Dec 2014","-","-","-","4290.31"
"NIFTY CHEMICALS","05 Dec 2014","-","-","-","4344.53"
"NIFTY CHEMICALS","04 Dec 2014","-","-","-","4352.36"
"NIFTY CHEMICALS","03 Dec 2014","-","-","-","4328.72"
"NIFTY CHEMICALS","02 Dec 2014","-","-","-","4279.67"
"NIFTY CHEMICALS","01 Dec 2014","-","-","-","4262.64"
"NIFTY CHEMICALS","28 Nov 2014","-","-","-","4238.08"
"NIFTY CHEMICALS","27 Nov 2014","-","-","-","4125.57"
"NIFTY CHEMICALS","26 Nov 2014","-","-","-","4117.41"
"NIFTY CHEMICALS","25 Nov 2014","-","-","-","4120.94"
"NIFTY CHEMICALS","24 Nov 2014","-","-","-","4215.44"
"NIFTY CHEMICALS","21 Nov 2014","-","-","-","4198.12"
"NIFTY CHEMICALS","20 Nov 2014","-","-","-","4144.18"
"NIFTY CHEMICALS","19 Nov 2014","-","-","-","4140.39"
