IndexName,Date,Open,High,Low,Close,SharesTraded,TurnoverInrCr,PE,PB,DividendYield
"NIFTY-PRIVATE-BANK","19-Dec-2025","28410.8","28466.95","28365.7","28411.5","228189203","7392.6","","",""
"NIFTY-PRIVATE-BANK","22-Dec-2025","28500.2","28554.7","28455.2","28510.15","114366792","4211.36","","",""
"NIFTY-PRIVATE-BANK","23-Dec-2025","28543.85","28565.8","28470.3","28501.55","101984968","4363.68","","",""
