DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
04-Oct-1995,0,0,0,1227.82,,
05-Oct-1995,0,0,0,1233.61,,
06-Oct-1995,0,0,0,1240.97,,
09-Oct-1995,0,0,0,1248.02,,
10-Oct-1995,0,0,0,1241.01,,
11-Oct-1995,0,0,0,1241,,
12-Oct-1995,0,0,0,1238.65,,
13-Oct-1995,0,0,0,1230.18,,
16-Oct-1995,0,0,0,1222.6,,
17-Oct-1995,0,0,0,1206.68,,
18-Oct-1995,0,0,0,1208.76,,
19-Oct-1995,0,0,0,1199.57,,
20-Oct-1995,0,0,0,1193.76,,
23-Oct-1995,0,0,0,1187.79,,
24-Oct-1995,0,0,0,1178.49,,
25-Oct-1995,0,0,0,1190.98,,
26-Oct-1995,0,0,0,1173.08,,
27-Oct-1995,0,0,0,1174.16,,
30-Oct-1995,0,0,0,1168.01,,
31-Oct-1995,0,0,0,1167.18,,
01-Nov-1995,0,0,0,1173.03,,
02-Nov-1995,0,0,0,1170.11,,
03-Nov-1995,0,0,0,1166.07,,
06-Nov-1995,0,0,0,1158.21,,
07-Nov-1995,0,0,0,1150.29,,
08-Nov-1995,0,0,0,1121.75,,
09-Nov-1995,0,0,0,1100.47,,
10-Nov-1995,0,0,0,1089.95,,
13-Nov-1995,0,0,0,1059.83,,
14-Nov-1995,0,0,0,1033.77,,
15-Nov-1995,0,0,0,1032.35,,
16-Nov-1995,0,0,0,1027.07,,
17-Nov-1995,0,0,0,1017.01,,
20-Nov-1995,0,0,0,1006.93,,
21-Nov-1995,0,0,0,993.05,,
22-Nov-1995,0,0,0,976.73,,
23-Nov-1995,0,0,0,958.89,,
24-Nov-1995,0,0,0,981.81,,
27-Nov-1995,0,0,0,988.5,,
28-Nov-1995,0,0,0,980.8,,
29-Nov-1995,0,0,0,982,,
30-Nov-1995,0,0,0,991.7,,
01-Dec-1995,0,0,0,1004.94,,
04-Dec-1995,0,0,0,1007.95,,
05-Dec-1995,0,0,0,1007.51,,
06-Dec-1995,0,0,0,1016.38,,
07-Dec-1995,0,0,0,1031.68,,
08-Dec-1995,0,0,0,1034.84,,
11-Dec-1995,0,0,0,1027.56,,
12-Dec-1995,0,0,0,1027.63,,
13-Dec-1995,0,0,0,1032.92,,
14-Dec-1995,0,0,0,1035.26,,
15-Dec-1995,0,0,0,1040.1,,
18-Dec-1995,0,0,0,1035.37,,
19-Dec-1995,0,0,0,1029.32,,
20-Dec-1995,0,0,0,1030.65,,
21-Dec-1995,0,0,0,1043.52,,
22-Dec-1995,0,0,0,1047.21,,
26-Dec-1995,0,0,0,1049.77,,
27-Dec-1995,0,0,0,1062,,
28-Dec-1995,0,0,0,1061.95,,
29-Dec-1995,0,0,0,1057.86,,
01-Jan-1996,0,0,0,1054.09,,
02-Jan-1996,0,0,0,1046.73,,
03-Jan-1996,0,0,0,1043.86,,
04-Jan-1996,0,0,0,1033.92,,
05-Jan-1996,0,0,0,1027.79,,
08-Jan-1996,0,0,0,1014.92,,
09-Jan-1996,0,0,0,1006.66,,
10-Jan-1996,0,0,0,1009.52,,
11-Jan-1996,0,0,0,1014.21,,
12-Jan-1996,0,0,0,1022.87,,
15-Jan-1996,0,0,0,1016.6,,
16-Jan-1996,0,0,0,1014.73,,
17-Jan-1996,0,0,0,1008.26,,
18-Jan-1996,0,0,0,996.36,,
19-Jan-1996,0,0,0,984.59,,
22-Jan-1996,0,0,0,984.27,,
23-Jan-1996,0,0,0,971.45,,
24-Jan-1996,0,0,0,959.52,,
25-Jan-1996,0,0,0,949.68,,
29-Jan-1996,0,0,0,960.2,,
30-Jan-1996,0,0,0,973.51,,
31-Jan-1996,0,0,0,989,,
01-Feb-1996,0,0,0,1004.75,,
02-Feb-1996,0,0,0,1044.2,,
05-Feb-1996,0,0,0,1058.98,,
06-Feb-1996,0,0,0,1051.95,,
07-Feb-1996,0,0,0,1046.76,,
08-Feb-1996,0,0,0,1076.61,,
09-Feb-1996,0,0,0,1148.14,,
12-Feb-1996,0,0,0,1167.94,,
13-Feb-1996,0,0,0,1171.72,,
14-Feb-1996,0,0,0,1236,,
15-Feb-1996,0,0,0,1245.33,,
16-Feb-1996,0,0,0,1215.99,,
19-Feb-1996,0,0,0,1205.73,,
20-Feb-1996,0,0,0,1189.56,,
22-Feb-1996,0,0,0,1207.4,,
23-Feb-1996,0,0,0,1208.3,,
26-Feb-1996,0,0,0,1209.88,,
27-Feb-1996,0,0,0,1199.36,,
28-Feb-1996,0,0,0,1194.33,,
29-Feb-1996,0,0,0,1152.08,,
01-Mar-1996,0,0,0,1154.81,,
04-Mar-1996,0,0,0,1153.86,,
06-Mar-1996,0,0,0,1156.65,,
07-Mar-1996,0,0,0,1151.65,,
08-Mar-1996,0,0,0,1144.76,,
11-Mar-1996,0,0,0,1131.09,,
12-Mar-1996,0,0,0,1125.22,,
13-Mar-1996,0,0,0,1142.42,,
14-Mar-1996,0,0,0,1146.19,,
15-Mar-1996,0,0,0,1140.23,,
18-Mar-1996,0,0,0,1124.94,,
19-Mar-1996,0,0,0,1115.22,,
21-Mar-1996,0,0,0,1129.15,,
22-Mar-1996,0,0,0,1119.78,,
25-Mar-1996,0,0,0,1119.5,,
26-Mar-1996,0,0,0,1117.39,,
27-Mar-1996,0,0,0,1130.74,,
28-Mar-1996,0,0,0,1150.19,,
29-Mar-1996,0,0,0,1151.15,,
01-Apr-1996,0,0,0,1154.3,,
02-Apr-1996,0,0,0,1161.43,,
03-Apr-1996,0,0,0,1172.15,,
04-Apr-1996,0,0,0,1172,,
08-Apr-1996,0,0,0,1188.57,,
09-Apr-1996,0,0,0,1195.96,,
10-Apr-1996,0,0,0,1199.15,,
11-Apr-1996,0,0,0,1189.13,,
12-Apr-1996,0,0,0,1192.6,,
15-Apr-1996,0,0,0,1200.86,,
16-Apr-1996,0,0,0,1211.24,,
17-Apr-1996,0,0,0,1255.45,,
18-Apr-1996,0,0,0,1283.13,,
19-Apr-1996,0,0,0,1295.74,,
22-Apr-1996,0,0,0,1269.73,,
23-Apr-1996,0,0,0,1258.21,,
24-Apr-1996,0,0,0,1299.24,,
25-Apr-1996,0,0,0,1286.47,,
26-Apr-1996,0,0,0,1277.89,,
29-Apr-1996,0,0,0,1272.94,,
30-Apr-1996,0,0,0,1273.72,,
01-May-1996,0,0,0,1294.13,,
02-May-1996,0,0,0,1289.22,,
03-May-1996,0,0,0,1288.62,,
06-May-1996,0,0,0,1270.01,,
07-May-1996,0,0,0,1281.56,,
08-May-1996,0,0,0,1294.35,,
09-May-1996,0,0,0,1275.23,,
10-May-1996,0,0,0,1252.82,,
13-May-1996,0,0,0,1253.64,,
14-May-1996,0,0,0,1261.26,,
15-May-1996,0,0,0,1268.05,,
16-May-1996,0,0,0,1285.79,,
17-May-1996,0,0,0,1275.72,,
20-May-1996,0,0,0,1244.41,,
21-May-1996,0,0,0,1225.14,,
22-May-1996,0,0,0,1236.38,,
23-May-1996,0,0,0,1228.34,,
24-May-1996,0,0,0,1234.12,,
27-May-1996,0,0,0,1212.38,,
28-May-1996,0,0,0,1207.53,,
29-May-1996,0,0,0,1243.49,,
30-May-1996,0,0,0,1231.88,,
31-May-1996,0,0,0,1238.8,,
03-Jun-1996,0,0,0,1251.13,,
04-Jun-1996,0,0,0,1250.96,,
05-Jun-1996,0,0,0,1257.41,,
06-Jun-1996,0,0,0,1272.46,,
07-Jun-1996,0,0,0,1267.98,,
10-Jun-1996,0,0,0,1276.04,,
