DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
01-Jan-1996,,,,1000,,
02-Jan-1996,,,,997.82,,
03-Jan-1996,,,,991.42,,
04-Jan-1996,,,,991.48,,
05-Jan-1996,,,,986.17,,
08-Jan-1996,,,,975.7,,
09-Jan-1996,,,,972.73,,
10-Jan-1996,,,,974.81,,
11-Jan-1996,,,,977.78,,
12-Jan-1996,,,,983.22,,
15-Jan-1996,,,,979.09,,
16-Jan-1996,,,,977.14,,
17-Jan-1996,,,,978.49,,
18-Jan-1996,,,,970.9,,
19-Jan-1996,,,,964.2,,
22-Jan-1996,,,,958.81,,
23-Jan-1996,,,,940,,
24-Jan-1996,,,,928.35,,
25-Jan-1996,,,,920.82,,
29-Jan-1996,,,,936.36,,
30-Jan-1996,,,,953.68,,
31-Jan-1996,,,,950.51,,
01-Feb-1996,,,,968.4,,
02-Feb-1996,,,,1012.03,,
05-Feb-1996,,,,1040.4,,
06-Feb-1996,,,,1025.73,,
07-Feb-1996,,,,1023.68,,
08-Feb-1996,,,,1062.19,,
09-Feb-1996,,,,1085.56,,
12-Feb-1996,,,,1098.65,,
13-Feb-1996,,,,1114.44,,
14-Feb-1996,,,,1138.92,,
15-Feb-1996,,,,1146.77,,
16-Feb-1996,,,,1123.26,,
19-Feb-1996,,,,1119.08,,
20-Feb-1996,,,,1093.01,,
22-Feb-1996,,,,1114.7,,
23-Feb-1996,,,,1115.11,,
26-Feb-1996,,,,1113.33,,
27-Feb-1996,,,,1109.72,,
28-Feb-1996,,,,1107.37,,
29-Feb-1996,,,,1076.35,,
01-Mar-1996,,,,1080.04,,
04-Mar-1996,,,,1075.04,,
06-Mar-1996,,,,1076.78,,
07-Mar-1996,,,,1059.71,,
08-Mar-1996,,,,1046.54,,
11-Mar-1996,,,,1037.04,,
12-Mar-1996,,,,1035.19,,
13-Mar-1996,,,,1062.08,,
14-Mar-1996,,,,1065.99,,
15-Mar-1996,,,,1062.8,,
18-Mar-1996,,,,1049.31,,
19-Mar-1996,,,,1043.18,,
21-Mar-1996,,,,1047.36,,
22-Mar-1996,,,,1030.99,,
25-Mar-1996,,,,1018.4,,
26-Mar-1996,,,,1029.86,,
27-Mar-1996,,,,1035.7,,
28-Mar-1996,,,,1053.57,,
29-Mar-1996,,,,1047.15,,
01-Apr-1996,,,,1053.41,,
02-Apr-1996,,,,1070.44,,
03-Apr-1996,,,,1078.99,,
04-Apr-1996,,,,1088.18,,
08-Apr-1996,,,,1109.3,,
09-Apr-1996,,,,1106.32,,
10-Apr-1996,,,,1104.97,,
11-Apr-1996,,,,1095.81,,
12-Apr-1996,,,,1096.9,,
15-Apr-1996,,,,1105.44,,
16-Apr-1996,,,,1140.76,,
17-Apr-1996,,,,1186.13,,
18-Apr-1996,,,,1202.01,,
19-Apr-1996,,,,1208.65,,
22-Apr-1996,,,,1184.64,,
23-Apr-1996,,,,1185.18,,
24-Apr-1996,,,,1215.78,,
25-Apr-1996,,,,1214.98,,
26-Apr-1996,,,,1209.87,,
29-Apr-1996,,,,1204.85,,
30-Apr-1996,,,,1200.3,,
01-May-1996,,,,1217.8,,
02-May-1996,,,,1211.5,,
03-May-1996,,,,1201.85,,
06-May-1996,,,,1177.17,,
07-May-1996,,,,1179.84,,
08-May-1996,,,,1200.67,,
09-May-1996,,,,1176.91,,
10-May-1996,,,,1167.14,,
13-May-1996,,,,1179.04,,
14-May-1996,,,,1195.09,,
15-May-1996,,,,1199.38,,
16-May-1996,,,,1205.91,,
17-May-1996,,,,1194.04,,
20-May-1996,,,,1157.64,,
21-May-1996,,,,1144.38,,
22-May-1996,,,,1153.2,,
23-May-1996,,,,1152.23,,
24-May-1996,,,,1164.14,,
27-May-1996,,,,1141.86,,
28-May-1996,,,,1139.63,,
29-May-1996,,,,1170.38,,
30-May-1996,,,,1160.56,,
31-May-1996,,,,1170.5,,
03-Jun-1996,,,,1187.94,,
04-Jun-1996,,,,1189.13,,
05-Jun-1996,,,,1200.66,,
06-Jun-1996,,,,1215.63,,
07-Jun-1996,,,,1226.15,,
10-Jun-1996,,,,1237.89,,
11-Jun-1996,,,,1248.75,,
12-Jun-1996,,,,1265.19,,
13-Jun-1996,,,,1269.21,,
14-Jun-1996,,,,1309.21,,
17-Jun-1996,,,,1293.97,,
18-Jun-1996,,,,1300.64,,
19-Jun-1996,,,,1291.41,,
20-Jun-1996,,,,1291.38,,
21-Jun-1996,,,,1285.77,,
24-Jun-1996,,,,1283.59,,
25-Jun-1996,,,,1248.59,,
26-Jun-1996,,,,1251.19,,
27-Jun-1996,,,,1258.59,,
28-Jun-1996,,,,1247.89,,
01-Jul-1996,,,,1232.2,,
02-Jul-1996,,,,1221.45,,
03-Jul-1996,,,,1216.91,,
04-Jul-1996,,,,1238.72,,
05-Jul-1996,,,,1248.75,,
08-Jul-1996,,,,1263.34,,
09-Jul-1996,,,,1244.49,,
10-Jul-1996,,,,1242.47,,
11-Jul-1996,,,,1250,,
12-Jul-1996,,,,1243.85,,
15-Jul-1996,,,,1244.05,,
16-Jul-1996,,,,1223.33,,
17-Jul-1996,,,,1251.88,,
18-Jul-1996,,,,1265.79,,
19-Jul-1996,,,,1269.11,,
22-Jul-1996,,,,1280.99,,
23-Jul-1996,,,,1267.24,,
24-Jul-1996,,,,1256.33,,
25-Jul-1996,,,,1252.41,,
26-Jul-1996,,,,1248.64,,
29-Jul-1996,,,,1224.54,,
30-Jul-1996,,,,1199.67,,
31-Jul-1996,,,,1236.42,,
01-Aug-1996,,,,1242.06,,
02-Aug-1996,,,,1238.63,,
05-Aug-1996,,,,1245.37,,
06-Aug-1996,,,,1240.78,,
07-Aug-1996,,,,1251.48,,
08-Aug-1996,,,,1239.32,,
09-Aug-1996,,,,1240.58,,
12-Aug-1996,,,,1240.84,,
13-Aug-1996,,,,1233.28,,
14-Aug-1996,,,,1227.4,,
16-Aug-1996,,,,1215.21,,
19-Aug-1996,,,,1180.96,,
20-Aug-1996,,,,1183.01,,
21-Aug-1996,,,,1204.12,,
22-Aug-1996,,,,1200.61,,
23-Aug-1996,,,,1209.3,,
26-Aug-1996,,,,1203.96,,
27-Aug-1996,,,,1208.17,,
28-Aug-1996,,,,1224.37,,
29-Aug-1996,,,,1225.88,,
30-Aug-1996,,,,1223.42,,
02-Sep-1996,,,,1220.65,,
03-Sep-1996,,,,1204.48,,
04-Sep-1996,,,,1209.43,,
05-Sep-1996,,,,1221.7,,
06-Sep-1996,,,,1220.69,,
09-Sep-1996,,,,1206,,
10-Sep-1996,,,,1199.11,,
11-Sep-1996,,,,1190.28,,
12-Sep-1996,,,,1190.25,,
13-Sep-1996,,,,1185.29,,
16-Sep-1996,,,,1177.08,,
17-Sep-1996,,,,1193.39,,
18-Sep-1996,,,,1209.57,,
19-Sep-1996,,,,1202.05,,
20-Sep-1996,,,,1205.66,,
23-Sep-1996,,,,1198.76,,
24-Sep-1996,,,,1199.37,,
25-Sep-1996,,,,1200.94,,
26-Sep-1996,,,,1187.15,,
27-Sep-1996,,,,1184.74,,
30-Sep-1996,,,,1183.45,,
01-Oct-1996,,,,1181.63,,
03-Oct-1996,,,,1183.39,,
04-Oct-1996,,,,1161.38,,
07-Oct-1996,,,,1125.65,,
08-Oct-1996,,,,1151.87,,
09-Oct-1996,,,,1141.35,,
10-Oct-1996,,,,1174.62,,
11-Oct-1996,,,,1178.79,,
