DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
01-Jan-2004,,,,1000,36177665,303.99
02-Jan-2004,,,,1028.25,38498817,369
05-Jan-2004,,,,1024.37,35192512,346.43
06-Jan-2004,,,,1007.26,41173273,379.91
07-Jan-2004,,,,982.49,29396473,299.97
08-Jan-2004,,,,1007.53,27514265,306.72
09-Jan-2004,,,,1020.28,44399785,472.75
12-Jan-2004,,,,1011.17,30293872,339.92
13-Jan-2004,,,,1017.38,31366545,286.58
14-Jan-2004,,,,1030.82,38607570,385.79
15-Jan-2004,,,,1019.91,42170850,382.18
16-Jan-2004,,,,993.7,31596742,276.16
19-Jan-2004,,,,999.64,25980549,237.22
20-Jan-2004,,,,984.73,24407827,220.41
21-Jan-2004,,,,910.71,27652187,233.21
22-Jan-2004,,,,882.46,31266652,258.82
23-Jan-2004,,,,925.24,28707340,241.26
27-Jan-2004,,,,954.91,22639003,214.17
28-Jan-2004,,,,934.31,31168102,256.99
29-Jan-2004,,,,929,28267203,242.41
30-Jan-2004,,,,900.66,22448024,211.92
03-Feb-2004,,,,863.32,24836438,218.06
04-Feb-2004,,,,891.79,25274380,237.5
05-Feb-2004,,,,899.89,23600438,224.18
06-Feb-2004,,,,909.86,20757416,193.63
09-Feb-2004,,,,933.44,22826950,223.63
10-Feb-2004,,,,935.31,23178439,206.17
11-Feb-2004,,,,945.49,25692093,209.5
12-Feb-2004,,,,961.76,33799580,298.42
13-Feb-2004,,,,968.39,24330934,240.41
16-Feb-2004,,,,977.27,22734643,224
17-Feb-2004,,,,976.23,18535697,202.39
18-Feb-2004,,,,975.95,16567852,203.54
19-Feb-2004,,,,952.66,19308553,239.03
20-Feb-2004,,,,949.54,19063157,226.14
23-Feb-2004,,,,928.24,15872000,168.11
24-Feb-2004,,,,928.78,14734562,155.28
25-Feb-2004,,,,920.02,15357569,178.25
26-Feb-2004,,,,912.89,17698502,188.35
27-Feb-2004,,,,922.42,15242305,136.87
01-Mar-2004,,,,938.64,16155060,172.02
03-Mar-2004,,,,936.81,15854073,159.46
04-Mar-2004,,,,930.82,13043768,156.87
05-Mar-2004,,,,934.91,13955899,169.52
08-Mar-2004,,,,952.52,20258796,216.32
09-Mar-2004,,,,945.76,21830379,213.29
10-Mar-2004,,,,934.28,15591475,164.03
11-Mar-2004,,,,919.52,11372831,118.31
12-Mar-2004,,,,921.4,15135741,147.97
15-Mar-2004,,,,894.8,15061973,158.24
16-Mar-2004,,,,878.68,14696825,145.61
17-Mar-2004,,,,886,17718606,222.34
18-Mar-2004,,,,871.98,22579180,260.14
19-Mar-2004,,,,879.59,20855505,237.84
22-Mar-2004,,,,852.61,17677668,168.86
23-Mar-2004,,,,845.24,17381830,172.2
24-Mar-2004,,,,850.34,16995556,201.55
25-Mar-2004,,,,859.62,20941821,208.58
26-Mar-2004,,,,889.79,22175093,242.07
29-Mar-2004,,,,908.22,21093745,212.73
30-Mar-2004,,,,915.99,22958827,239.51
31-Mar-2004,,,,923.27,18915392,232.33
01-Apr-2004,,,,948.42,25875189,260
02-Apr-2004,,,,955.81,28056795,257.11
05-Apr-2004,,,,970.92,22961135,237.9
06-Apr-2004,,,,963.4,17382405,180.81
07-Apr-2004,,,,964.8,14351092,149.51
08-Apr-2004,,,,977.75,24258938,243.09
12-Apr-2004,,,,983.63,15907291,162.9
13-Apr-2004,,,,1000.79,30171418,252.33
15-Apr-2004,,,,1019.2,43771248,400.63
16-Apr-2004,,,,1024.18,30783123,283.6
17-Apr-2004,,,,1036.21,20272135,141.58
19-Apr-2004,,,,1023.91,39615831,326.13
20-Apr-2004,,,,1021.9,30122609,264.56
21-Apr-2004,,,,1040.56,34041020,323.32
22-Apr-2004,,,,1063.53,39449450,390.79
23-Apr-2004,,,,1068.36,42980835,426.48
27-Apr-2004,,,,1015.2,35838636,310.51
28-Apr-2004,,,,1016.69,42764899,335.5
29-Apr-2004,,,,1025.86,41655583,361.11
30-Apr-2004,,,,1027.44,30095692,262.8
03-May-2004,,,,1003.25,31080655,244.09
04-May-2004,,,,1038.03,42682894,335.94
05-May-2004,,,,1046.22,41231245,323.97
06-May-2004,,,,1070.29,53586503,442.37
07-May-2004,,,,1062.11,54090197,350.7
10-May-2004,,,,1044.16,38668391,250.25
11-May-2004,,,,988.26,34485081,243.5
12-May-2004,,,,996.11,39967638,272.42
13-May-2004,,,,997.86,56247506,383.83
14-May-2004,,,,891.61,57266794,390.45
17-May-2004,,,,787.42,34417691,196.89
18-May-2004,,,,853.87,33069879,211.97
19-May-2004,,,,905.71,37122340,244.34
20-May-2004,,,,909.45,33641604,223.7
21-May-2004,,,,898.49,26136907,175.87
24-May-2004,,,,918.23,24115391,195.47
25-May-2004,,,,910.33,25839552,214.46
26-May-2004,,,,924.05,28432212,233.88
27-May-2004,,,,914.72,22235645,176.16
28-May-2004,,,,876.52,25281962,217.99
31-May-2004,,,,834.7,25120467,185.19
01-Jun-2004,,,,857.2,21583993,162.86
02-Jun-2004,,,,868.85,21089257,166.78
03-Jun-2004,,,,851.7,29288125,195.58
04-Jun-2004,,,,851.12,19193195,138.26
07-Jun-2004,,,,860,22489276,235.46
08-Jun-2004,,,,860.21,22415539,186.34
09-Jun-2004,,,,869.86,27542322,190.58
10-Jun-2004,,,,872.83,19024114,133.84
11-Jun-2004,,,,856.63,26675333,168.2
14-Jun-2004,,,,827.54,19726068,130.93
15-Jun-2004,,,,832,19967749,149.64
16-Jun-2004,,,,833.86,20776275,150.09
17-Jun-2004,,,,830.52,18141004,126.34
18-Jun-2004,,,,823.23,21881633,144.92
21-Jun-2004,,,,807.57,19485788,123.29
22-Jun-2004,,,,800.79,15743064,97.09
23-Jun-2004,,,,780.48,15808368,101.86
24-Jun-2004,,,,784.26,19634010,133.45
25-Jun-2004,,,,796.45,20898181,145.75
